number,id,title,question,img,Gold Standard,T5_BBOX,T5,Summary 1,Summary 2,Summary 3
76,2282,"About a quarter say tax rates should be lowered on corporations, household incomes above $250,000",What are Americans opinions about tax rates on corporations?,dataset/images/2282.png,"About a quarter of U.S. adults ( 24 % ) say tax rates on corporations and large businesses should be lowered , while roughly twice as many ( 52 % ) say they should be raised . Another 21 % say corporate tax rates should be kept the same as they are now .","About a quarter of Americans ( 52 % ) say tax rates on large businesses and corporations should be raised a lot, compared with 27 % who say they should be kept the same as they are now.","About a quarter of U.S. adults ( 24 % ) say tax rates on corporations and large businesses should be lowered, while roughly twice as many ( 52 % ) say they should be raised. Another 21 % say corporate tax rates should be kept the same as they are now.",T5_BBOX,T5,Gold Standard
77,3928,How Audiences Rate Press Coverage Week of February 19,What is people's opinion on the press when it comes to coverage of Iraq?,dataset/images/3928.png,"The press receives lower ratings for its coverage of Iraq from those who were following that story closely – 13 % rate the coverage excellent , 37 % say it ’s been good .",About four - in - ten ( 34 % ) say they followed news about Iraq very closely last week.,"The press receives lower ratings for its coverage of Iraq from those who were following that story closely – 13 % rate the coverage excellent, 37 % say it ’s been good.",Gold Standard,T5_BBOX,T5
78,1874,"Merkel gets higher ratings globally than Xi, Putin or Trump Confidence in to do the rightthing regarding world affairs",What opinion do the publics have about worldwide national leaders during the Trump government?,dataset/images/1874.png,"Angela Merkel is the only world leader included in the survey who receives more positive than negative reviews . Across the 37 nations polled , a median of 42 % express confidence in her , while 31 % say they lack confidence . Ratings for Chinese President Xi Jinping and Russian President Vladimir Putin are mostly negative , and class='chrome-extension-mutihighlight chrome-extension-mutihighlight-style-6'>Trump receives even more unfavorable assessments than both of them . class='chrome-extension-mutihighlight chrome-extension-mutihighlight-style-6'>Trump receives even more unfavorable assessments than both of","Globally, a median of 42 % say they have confidence in Merkel to do the right thing regarding world affairs, compared with 31 % who say they do not have confidence.","Trump gets more negative ratings globally than Merkel, Xi or Putin. German Chancellor Angela Merkel is the only world leader included in the survey who receives more positive than negative reviews. Across the 37 nations polled, a median of 42 % express confidence in her, while 31 % say they lack confidence. Ratings for Chinese President Xi Jinping and Russian President Vladimir Putin are mostly negative, and Trump receives even more unfavorable assessments than both of them.",Gold Standard,T5,T5_BBOX
79,3336,It Is More Important to Have Strong Ties with,What percentage of Nigerians consider ties with China as more important in comparison to U.S.?,dataset/images/3336.png,"In Nigeria , 37 % say a strong relationship with China is more important , compared with just 17 % who say this about the U.S.",A majority of Nigerians ( 37 % ) say it is more important to have strong ties with China than the U.S.,"In Nigeria, 37 % say a strong relationship with China is more important, compared with just 17 % who say this about the U.S.",T5,Gold Standard,T5_BBOX
80,6313,Public's Views of Global Threats Facing the U.S. % saying each isa,How worried is the public about the infectious diseases?,dataset/images/6313.png,Roughly half ( 52 % ) believe the spread of infectious diseases between countries is a major threat and four - in - ten ( 40 % ) label it a minor threat .,A majority of Americans ( 52 % ) say the spread of infectious diseases is a major threat to the U.S.,roughly half ( 52 % ) believe the spread of infectious diseases between countries is a major threat and four - in - ten ( 40 % ) label it a minor threat.,T5,T5_BBOX,Gold Standard
81,281,Post-election partisan shift in views of risks of increased presidential power,What is the opinion of the partisans about increasing presidential power?,dataset/images/281.png,"The sense that increasing presidential power would be “ too risky ” has grown among Democrats since August , when Barack Obama was still president : While a 66 % majority said giving presidents greater powers would be too risky in August , nearly nine - in - ten ( 87 % ) now say this . Conversely , while 82 % of Republicans expressed concern about increasing presidential powers relative to the other branches of government in August , a smaller majority ( 65 % ) say this today .","87 % of Republicans and Republican - leaning independents say it would be too risky to give presidents more power to deal directly with the country ’s problems, compared with 65 % of Democrats and Democratic leaners.","While a 66 % majority said giving presidents greater powers would be too risky in August, nearly nine - in - ten ( 87 % ) now say this. Conversely, while 82 % of Republicans expressed concern about increasing presidential powers relative to the other branches of government in August, a smaller majority ( 65 % ) say this today.",T5,T5_BBOX,Gold Standard
82,7545,Democrats Prefer Compromise,What is the opinion of the parties on leaders who compromise?,dataset/images/7545.png,"Fully 87 % of Democrats like leaders who are willing to make compromises in order to get the job done , compared with 70 % of Republicans .","Currently, 72 % of Democrats and 72 % of independents say they prefer leaders who compromise.","Fully 87 % of Democrats like leaders who are willing to make compromises in order to get the job done, compared with 70 % of Republicans.",T5_BBOX,Gold Standard,T5
83,3463,"Inflation, Crime, Health Care and Corruption Top Concerns",What do people think about major problems of the country?,dataset/images/3463.png,"about rising prices : 85 % say this is a major problem in the country . And at least two - thirds also say a lack of employment opportunities and the gap between the rich and the poor are very big problems . In addition to economic concerns , large majorities also describe crime ( 83 % ) , health care ( 83 % ) , political corruption ( 78 % ) and poor quality schools ( 64 % ) as major problems .","83 % say rising prices are a very big problem for the country, compared with 85 % who say rising prices are a very big problem. Similarly, 83 % say rising prices are a very big problem for the country.","85 % say this is a major problem in the country. large majorities also describe crime ( 83 % ), health care ( 83 % ), political corruption ( 78 % ) and poor quality schools ( 64 % ) as major problems.",T5,Gold Standard,T5_BBOX
84,2532,Lack of connections is viewed as major obstacle to employment is a very importantreason why many people in our country do not havejobs,Explain what people say are the reasons of the lack of jobs?,dataset/images/2532.png,"When asked why so many people lack jobs in their country , the top reason given is that many jobs go only to people with connections .","A majority of South Africans ( 69 % ) say that many jobs only go to people with connections, while 63 % say that many jobs only go to people with connections.","When asked why so many people lack jobs in their country, the top reason given is that many jobs go only to people with connections.",T5,T5_BBOX,Gold Standard
85,5311,"Since 2001, decline in the share saying legal immigration should be decreased % should who say be that legal immigration into the United States",What is the percentage of Americans who favor increased legal immigration to the U.S. versus those who favor a decrease?,dataset/images/5311.png,"Since 2001 , the share of Americans who favor increased legal immigration into the U.S. has risen 22 percentage points ( from 10 % to 32 % ) , while the share who support a decrease has declined 29 points ( from 53 % to 24 % ) .","About half of Americans ( 53 % ) say that legal immigration into the U.S. should be increased, compared with 29 % who say it should be kept at its present level.","Since 2001, the share of Americans who favor increased legal immigration into the U.S. has risen 22 percentage points ( from 10 % to 32 % ), while the share who support a decrease has declined 29 points ( from 53 % to 24 % ).",T5,Gold Standard,T5_BBOX
86,705,Half of Americans think made-up news and information is a critical problem for the country,What opinion do American adults have about the invented news and information in the country?,dataset/images/705.png,", 50 % of U.S. adults said made - up news and information was a very big problem in the country today",Half of Americans ( 50 % ) say that made - up news and information is a very big problem for the country today.,"In an early 2019 survey, 50 % of U.S. adults said made - up news and information was a very big problem in the country today – a larger share than said the same about issues including racism, illegal immigration, terrorism and sexism. Around half or more also said made - up news has a big impact on political leaders ’ ability to get work done ( 51 % ), Americans ’ confidence in each other ( 54 % ) and their confidence in the government ( 68 % ).",T5_BBOX,Gold Standard,T5
87,6313,Public's Views of Global Threats Facing the U.S. % saying each isa,How worried is the public about the infectious diseases?,dataset/images/6313.png,Roughly half ( 52 % ) believe the spread of infectious diseases between countries is a major threat and four - in - ten ( 40 % ) label it a minor threat .,A majority of Americans ( 52 % ) say the spread of infectious diseases is a major threat to the U.S.,roughly half ( 52 % ) believe the spread of infectious diseases between countries is a major threat and four - in - ten ( 40 % ) label it a minor threat.,T5_BBOX,Gold Standard,T5
88,6933,"Social networking site use by age group, 2005-2011 The percentage of adult internet users in each age group who use social networking sites",How is the use of social networks characterized by different age groups?,dataset/images/6933.png,"Social networking sites have been very popular with young adults ages 18 - 29 almost since their inception . Between February 2005 and August 2006 , the use of social networking sites among young adult internet users ages 18 - 29 jumped from 9 % to 49 % ; during this same time period , use of these sites by 30 - 49 year olds remained essentially unchanged . Since then , users under age 30 have continued to be significantly more likely to use social networking sites when compared with every other adult age group . As of May 2011 , over eight in ten internet users ages 18 - 29 use social networking sites ( 83 % ) , compared with seven in ten 30 - 49 year - olds ( 70 % ) , half of 50 - 64 year - olds ( 51 % ) , and a third of those age 65 and older ( 33 % ) .","The share of internet users ages 65 and older who use social networking sites has risen significantly in recent years. In 2005, 83 % of internet users ages 65 and older used social networking sites, compared with 61 % of internet users ages 18 to 29. In 2011, the share of internet users ages 30 to 49 increased to 47 %.","Social networking sites have been very popular with young adults ages 18 - 29 almost since their inception. Between February 2005 and August 2006, the use of social networking sites among young adult internet users ages 18 - 29 jumped from 9 % to 49 % ; during this same time period, use of these sites by 30 - 49 year olds remained essentially unchanged. Since then, users under age 30 have continued to be significantly more likely to use social networking sites when compared with every other adult age group. As of May 2011, over eight in",Gold Standard,T5_BBOX,T5
89,2309,"Solid Liberals, Core Conservatives highly focused on control of Congress in 2018 which party wins control of",How important is Congress control among parties?,dataset/images/2309.png,". More than eight - in - ten Solid Liberals ( 84 % ) say it matters a great deal to them which party wins control of Congress next year , the highest share of any typology group . Core Conservatives are next highest , at 77 % . At this point , other groups are less engaged by the struggle for partisan control of Congress . And the drop - off is particularly notable among three groups close to the middle of the typology . Fewer than half of Market Skeptic Republicans ( 44 % ) and New Era Enterprisers ( 41 % ) say it matters a great deal which party wins control of Congress ; just 44 % of Devout and Diverse say the same .","About seven - in - ten Core Conservatives ( 93 % ) say it matters a great deal to them which party wins control of Congress next year, compared with 71 % of Market Skeptics and 44 % of New Era Enterprisers.","More than eight - in - ten Solid Liberals ( 84 % ) say it matters a great deal to them which party wins control of Congress next year, the highest share of any typology group. Core Conservatives are next highest, at 77 %.",T5,T5_BBOX,Gold Standard
90,7540,Is Iraq Another Vie stnam? Is Iraq 4 Civil War? Mostly a civil war Iraq willbe ano ther Vie tram,What is the public opinion on the Iraq civil war?,dataset/images/7540.png,"The latest national survey by the Pew Research Center for the People & amp ; the Press , conducted Dec. 6 - 10 among 1,502 adults , finds that 52 % currently describe the violence in Iraq as “ mostly a civil war , ” rather than an insurgency against the U.S. and its allies . While this is largely unchanged from September , it represents a major shift from a year ago . In December 2005 , just 30 % viewed the violence in Iraq as mostly a civil war while 58 % said it was an insurgency aimed at the U.S. and its allies .","Currently, 52 % say the U.S. will accomplish its goals in Iraq, while 35 % say it will be mostly an insurgency.","52 % currently describe the violence in Iraq as “ mostly a civil war, ” rather than an insurgency against the U.S. and its allies.",T5_BBOX,T5,Gold Standard
91,2186,"Older adults, conservative Republicans most likely to say U.S. is top nation Statement that bestdescribes opinion of the US (%, U.S sta nds a bove all other countries in the world US one of greatest countries along with others There are other co untries that a re better than U.S",Describe the difference in views of U.S. global standing by race and ethnicity?,dataset/images/2186.png,"There is little difference in views of the nation ’s global standing by race and ethnicity : About three - in - ten whites ( 30 % ) and blacks ( 31 % ) and about a quarter of Hispanics ( 26 % ) view the U.S. as above all other nations . The majority view across each of these groups is that the U.S. is a great country , on par with some other countries .","Roughly two - thirds ( 57 % ) of those ages 65 and older say the U.S. is one of the greatest countries in the world, compared with just 13 % of those ages 65 and older.","Among Democrats, just 13 % of liberals say the U.S. stands above other nations, compared with 23 % of moderate and conservative Democrats. And nearly three - in - ten liberal Democrats ( 29 % ) say there are other countries better than the U.S. ; only 13 % of conservative and moderate Democrats say the same. Adults 65 and older are the most likely to say the U.S. stands above all other nations ( 44 % ). By contrast, just 12 % of those younger than 30 say the",Gold Standard,T5,T5_BBOX
92,2008,Widespread disapproval of Trump 's signature policy proposals of President Donald Trump 's proposed policy to,How Trump was seen by the international public?,dataset/images/2008.png,Global publics oppose some of Trump ’s major policies .,"Globally, a median of 49 % approve of Trump ’s proposed withdrawal from the U.S.-Mexico border, while 32 % disapprove.","Global publics oppose some of Trump ’s major policies. We tested five of Trump ’s major national security and foreign policy proposals – withdrawing from the Iran nuclear deal, placing tighter restrictions on people entering the U.S. from certain majority - Muslim nations, pulling out of international climate change agreements, withdrawing from trade deals and building a wall on the Mexican border – and with a few exceptions, they meet with broad disapproval around the world. Trump gets his lowest ratings in Mexico. Over the past decade, U.S.",T5,T5_BBOX,Gold Standard
93,797,Majority of U.S. poll workers are over 60,How is the trend of poll workers in 2018?,dataset/images/797.png,"around six - in - ten U.S. poll workers ( 58 % ) were ages 61 and older , including roughly a quarter ( 27 % ) who were over 70",About four - in - ten poll workers ( 44 % ) were ages 17 and younger in 2018.,"In the 2018 general election, around six - in - ten U.S. poll workers ( 58 % ) were ages 61 and older, including roughly a quarter ( 27 % ) who were over 70, according to a Pew Research Center analysis of government data from that year ’s Election Administration and Voting Survey ( EAVS ).",T5_BBOX,Gold Standard,T5
94,7531,Midte rm Election Poll Accuracy (Gallup & Pew election weekend LV estimates),Compare the election pre/post poll with the actual outcome?,dataset/images/7531.png,"The Gallup Organization has tracked voter preferences in House races for more than half a century , and its final midterm election polls have consistently paralleled actual election results Indeed , on average , the final Gallup Poll has been within 1.1 % of the actual vote in 1994 both the Pew and Gallup surveys found a Republican majority in the popular vote for the first time in more than 40 years , foreshadowing that year ’s GOP takeover of the House","The election pre and post polls were much more accurate than the actual outcome of the election, with a median of 60 % predicting the outcome of the election, compared with 40 % predicting the outcome of the final election.","The Gallup Organization has tracked voter preferences in House races for more than half a century, and its final midterm election polls have consistently paralleled actual election results. Indeed, on average, the final Gallup Poll has been within 1.1 % of the actual vote. Similarly, surveys by the Pew Research Center have consistently shown that the generic ballot closely tracks election results.2 For example, in 1994 both the Pew and Gallup surveys found a Republican majority in the popular vote for the first time in more than 40 years, foreshadowing that year",Gold Standard,T5_BBOX,T5
95,4262,Workers use social media at work for many reasons; taking a mental break is one of the most common % of workers who sever use social media platforms to,What do Americans use social media for?,dataset/images/4262.png,17 % of workers say they use social media to build or strengthen personal relationships at work .,About four - in - ten Americans ( 34 % ) use social media at work to take a mental break from work.,"As noted above, 17 % of workers say they use social media to build or strengthen personal relationships at work – but the transparency that social media facilitates comes with costs as well as benefits. Some 14 % of workers have found information on social media that has improved their professional opinion of a colleague ; at the same time, a similar share ( 16 % ) have found information on social media that has lowered their professional opinion of a colleague.",Gold Standard,T5,T5_BBOX
96,3148,How Presidential Contenders Announce Their Candidacies,What is the most preferred method for Presidential Contenders to announce their candidacies?,dataset/images/3148.png,"Since the 2004 election cycle , 27 of the 41 candidates who appeared in the Republican or Democratic presidential primary debates ( or have announced for 2016 ) included a public address in their formal announcement , according to our calculations","The most preferred method for presidential candidates to announce their candidacy is via a speech ( 2 % ), a media appearance ( 13 % ) or online ( 13 % ).","Since the 2004 election cycle, 27 of the 41 candidates who appeared in the Republican or Democratic presidential primary debates ( or have announced for 2016 ) included a public address in their formal announcement, according to our calculations. ( Sometimes, candidates have also made the announcement on some other platform, as in 2003 when former Sen. John Edwards, a North Carolina Democrat, announced on The Daily Show before giving a formal speech. ) In that election cycle, twice as many Republican candidates ( eight ) made their announcements through a TV or radio appearance than did",T5,T5_BBOX,Gold Standard
97,7674,News Interest vs. News Coverage April 28 May 4 Coverage,Discuss the attention of people to major headlines and their coverage.,dataset/images/7674.png,"The presidential campaign once again was the most heavily covered story of the week , accounting for 38 % of all news coverage . For the public , however , the rising price of gas , which emerged as a prominent issue in the campaign , was the top news story . More than six - in - ten ( 63 % ) say they followed news about gas prices very closely and 30 % cited it as the story they followed most closely last week . The public also closely tracked news about the national economy : 43 % say the followed economic news very closely with 20 % citing it as the story they followed most closely last week . The economy was the second most covered story , accounting for 10 % of news coverage .",About three - in - ten ( 30 % ) say they followed news about gas prices more closely than any other major story last week. About one - in - ten ( 10 % ) say they followed news about the economy more closely than any other story last week.,"The presidential campaign once again was the most heavily covered story of the week, accounting for 38 % of all news coverage. For the public, however, the rising price of gas, which emerged as a prominent issue in the campaign, was the top news story. More than six - in - ten ( 63 % ) say they followed news about gas prices very closely and 30 % cited it as the story they followed most closely last week. The public also closely tracked news about the national economy : 43 % say the followed economic news very closely",T5,T5_BBOX,Gold Standard
98,968,"Majorities of blacks say they've faced discrimination, but those with college experience are more likely to say this",Describe views of American Jews on Trump favoring Israelis?,dataset/images/968.png,"Roughly eight - in - ten blacks with at least some college experience ( 81 % ) say they 've experienced racial discrimination , at least from time to time , including 17 % who say this happens regularly",About six - in - ten U.S. Jews ( 63 % ) say they have personally experienced discrimination or been treated unfairly because of their race or ethnicity.,"A majority of black adults say they have been discriminated against because of their race, but this varies by education. Roughly eight - in - ten blacks with at least some college experience ( 81 % ) say they ’ve experienced racial discrimination, at least from time to time, including 17 % who say this happens regularly. Among blacks with a high school education or less, these shares are lower – 69 % and 9 %, respectively.",T5,Gold Standard,T5_BBOX
99,0,Information Gathering,Compare the proportion of dial-up users and broadband users who get their news on the internet.,dataset/images/0.png,Two in five ( 41 % ) of broadband users get news on the Internet on a typical day compared with 35 % of experienced dial - up users .,About half of dial - up users ( 50 % ) and broadband users ( 15 % ) get their news on the internet.,Two in five ( 41 % ) of broadband users get news on the Internet on a typical day compared with 35 % of experienced dial - up users who want broadband.,Gold Standard,T5_BBOX,T5
100,6399,Just 49% Expect a Better Year Ahead 2015 will be better or worse than 2014? (%),Describe the overall public optimism.,dataset/images/6399.png,"The public has muted expectations for the year to come : 49 % say they think 2015 will be a better year than 2014 , while 42 % think it will be worse .","Overall, 49 % say 2015 will be better or worse than 2014, while 35 % say it will be worse.","The public remains deeply dissatisfied with the way things are going in the country. Just 26 % are satisfied with national conditions, while 71 % are dissatisfied. And it has muted expectations for the year to come : 49 % say they think 2015 will be a better year than 2014, while 42 % think it will be worse.",Gold Standard,T5_BBOX,T5
101,1938,Brazilian public is skeptical about political future Political instability will inthe next five years,What opinion do Brazilians have about political instability in the next five years?,dataset/images/1938.png,"About four - in - ten Brazilians ( 42 % ) believe the political instability will get worse in the next five years , 29 % say the problem will stay the same and roughly a quarter ( 24 % ) believe the instability will get better .",About four - in - ten Brazilians ( 42 % ) say that political instability will get worse over the next five years.,"About four - in - ten Brazilians ( 42 % ) believe the political instability will get worse in the next five years, 29 % say the problem will stay the same and roughly a quarter ( 24 % ) believe the instability will get better.",T5,T5_BBOX,Gold Standard
102,5382,Democrats concerned their party will not do enough to oppose Trump % of Democrats ana Democratic leaners who are more concerned that Democrats in Congress will,Write some details about Democrats concerned their party will not do enough to oppose Trump?,dataset/images/5382.png,"For their part , Democrats are far more concerned that congressional Democrats will not do enough , rather than go too far , to oppose Trump . The latest survey by Pew Research Center , conducted Feb. 7 - 12 among 1,503 adults , shows how members of both parties are coming to grips with Washington ’s changed political dynamics : Democrats want their party to challenge Trump . Nearly three - quarters of Democrats and Democratic leaners ( 72 % ) say their bigger concern is that congressional Democrats will not do enough to oppose Trump and his policies . Just 20 % say they are more concerned that Democrats in Congress will go too far opposing Trump and his policies .",72 % of Democrats and Democratic - leaning independents are more concerned that Democrats in Congress will not do enough to oppose Trump than that their party will go too far in opposing Trump.,Nearly three - quarters of Democrats and Democratic leaners ( 72 % ) say their bigger concern is that congressional Democrats will not do enough to oppose Trump and his policies. Just 20 % say they are more concerned that Democrats in Congress will go too far opposing Trump and his policies.,Gold Standard,T5,T5_BBOX
103,7674,News Interest vs. News Coverage April 28 May 4 Coverage,Discuss the attention of people to major headlines and their coverage.,dataset/images/7674.png,"The presidential campaign once again was the most heavily covered story of the week , accounting for 38 % of all news coverage . For the public , however , the rising price of gas , which emerged as a prominent issue in the campaign , was the top news story . More than six - in - ten ( 63 % ) say they followed news about gas prices very closely and 30 % cited it as the story they followed most closely last week . The public also closely tracked news about the national economy : 43 % say the followed economic news very closely with 20 % citing it as the story they followed most closely last week . The economy was the second most covered story , accounting for 10 % of news coverage .",About three - in - ten ( 30 % ) say they followed news about gas prices more closely than any other major story last week. About one - in - ten ( 10 % ) say they followed news about the economy more closely than any other story last week.,"The presidential campaign once again was the most heavily covered story of the week, accounting for 38 % of all news coverage. For the public, however, the rising price of gas, which emerged as a prominent issue in the campaign, was the top news story. More than six - in - ten ( 63 % ) say they followed news about gas prices very closely and 30 % cited it as the story they followed most closely last week. The public also closely tracked news about the national economy : 43 % say the followed economic news very closely",T5,Gold Standard,T5_BBOX
104,5200,Germans and Americans express diminishing confidence in U.S. government's treatment of rights The U.S. government respects the personal.freedoms of,Describe the trend in the number of Germans and Americans that thinks the U.S. respects personal freedoms.,dataset/images/5200.png,"since 2013 , there has been a steady decline in both Germany and America in the percentage of those saying the U.S. government respects the personal freedoms of its people . In that year , 81 % of Germans and 69 % of Americans said the U.S. government respected the personal freedoms of its people . But after multiple scandals involving the exposure of National Security Agency eavesdropping , confidence in American respect for civil liberties began to decline . Now , just 35 % of Germans and 51 % of Americans hold this view","Currently, 58 % of Germans say the U.S. government respects the personal freedoms of its people.","Since 2013, there has been a steady decline in both Germany and America in the percentage of those saying the U.S. government respects the personal freedoms of its people. In that year, 81 % of Germans and 69 % of Americans said the U.S. government respected the personal freedoms of its people. But after multiple scandals involving the exposure of National Security Agency eavesdropping, confidence in American respect for civil liberties began to decline. Now, just 35 % of Germans and 51 % of Americans hold this view",T5_BBOX,T5,Gold Standard
105,1967,Americans think individuals and public schools should have the most responsibility to make sure workers have the right skills % saying these groups should have rightskills responsibility and education in making be successful sure that the 's economy,What do adults say about the public K-12 education system?,dataset/images/1967.png,Six - in - ten adults say the public K-12 education system has a lot of responsibility in making sure the U.S. workforce has the right skills and education to be successful in today ’s economy .,About six - in - ten adults ( 60 % ) say the public K-12 education system should have a lot of responsibility to make sure that the American workforce has the right skills and education to be successful in the economy.,"Six - in - ten adults say the public K-12 education system has a lot of responsibility in making sure the U.S. workforce has the right skills and education to be successful in today ’s economy, according to a Pew Research Center survey conducted in 2016. The only entity or institution that more people say has a lot of responsibility is “ individuals themselves, ” cited by 72 % of adults. Americans express a bit more ambivalence toward the role of colleges and universities in workforce preparation, with around half of adults ( 52 %",Gold Standard,T5,T5_BBOX
106,614,Many see U.S. as their country’s top ally,What do Americans think about Israelis as the country they can most rely on as a reliable ally in the future?,dataset/images/614.png,"In Israel , 82 % name the U.S. as the country they can most rely on as a dependable ally in the future",About eight - in - ten Americans ( 82 % ) say Israel is the country they can most rely on as a reliable ally in the future.,"In Israel, 82 % name the U.S. as the country they can most rely on as a dependable ally in the future",T5_BBOX,Gold Standard,T5
107,7236,"No Change in Overall U.S Image, But Obama Is More Popular",How is the difference among Turkey's perception about U.S former Presidents?,dataset/images/7236.png,"While just one - third of Turks have confidence that President Obama will do the right thing in world affairs , this is a significant increase from 2008 , when only 2 % voiced confidence in then - President Bush .","Turkey ’s perceptions of U.S. presidents have changed little over the past few years. Today, a majority of Turks ( 60 % ) say they have a favorable view of the U.S., compared with just 20 % who say they are confident in the U.S. president.","While just one - third of Turks have confidence that President Obama will do the right thing in world affairs, this is a significant increase from 2008, when only 2 % voiced confidence in then - President Bush.",Gold Standard,T5,T5_BBOX
108,6102,"Technology and Internet Items Show Sizeable Differences Comparisons of Web-only and total sample, in %",Explain the differences between web only and web + mail survey respondents.,dataset/images/6102.png,"A Web - only survey estimated that 82 % of the public uses the internet on a daily basis , while the full sample ( including non - internet users ) finds 69 % go online daily . Similarly , there is a 10 - point difference in the percentage of people who report having sent an email or text message to a friend or relative yesterday ( 79 % among the Web sample vs. 69 % among the full sample ) . There is also a 10 - point difference in reported ownership of a laptop or desktop computer ( 90 % of the Web sample vs. 80 % overall ) .","About eight - in - ten Web - only respondents ( 82 % ) say they use the internet daily, while 79 % say they send email or text messages to friends or family yesterday.","A Web - only survey estimated that 82 % of the public uses the internet on a daily basis, while the full sample ( including non - internet users ) finds 69 % go online daily. Similarly, there is a 10 - point difference in the percentage of people who report having sent an email or text message to a friend or relative yesterday ( 79 % among the Web sample vs. 69 % among the full sample ).",T5_BBOX,Gold Standard,T5
109,6435,"Views of Jobs Improving, but Most Still Say ‘Difficult to Find’",Describe the opinions on the availability of job opportunities in the local area.,dataset/images/6435.png,"57 % say that jobs are difficult to find in their community , while 36 % say that there are plenty of jobs available .","About six - in - ten ( 66 % ) say plenty of jobs are available in their area, while 36 % say they are difficult to find.","When it comes to job opportunities, 57 % say that jobs are difficult to find in their community, while 36 % say that there are plenty of jobs available, according to our recent survey.",T5,Gold Standard,T5_BBOX
110,941,Overall views of tax law little changed; fewer Republicans ‘strongly approve’,How do Republicans see tax law?,dataset/images/941.png,"About seven - in - ten Republicans ( 71 % ) approve of the tax law , including 43 % who strongly approve . Early last year , about the same share of Republicans approved of the tax law ( 75 % ) , but a majority ( 57 % ) strongly approved","Currently, 43 % of Republicans and Republican leaners approve of the tax law passed by Donald Trump and Congress in 2017, down from 71 % in January 2018.","About seven - in - ten Republicans ( 71 % ) approve of the tax law, including 43 % who strongly approve. Early last year, about the same share of Republicans approved of the tax law ( 75 % ), but a majority ( 57 % ) strongly approved.",T5_BBOX,T5,Gold Standard
111,1799,People Have Varying Views About When It Is OK Or Not OK To Use Their Cellphones % of adults who believe itis OK or not to use a cellphone in these situations Generally not OK Generally OK,Where do the few Americans think about the use of their cellphones at church or at the movie theater?,dataset/images/1799.png,"far fewer found it acceptable to use cellphones during a meeting , at the movies or in church (4%) while 5% of the few Americans think that the use of cellphones at the movie theater is generally OK.","About three - quarters of Americans ( 77 % ) say it is generally OK for people to use their cellphones while walking down the street, waiting in line or waiting in line.","In a 2014 Pew Research Center survey, roughly three - quarters of adults said it was OK for people to use their phones while walking down the street, riding public transit or waiting in line, but far fewer found it acceptable to use cellphones during a meeting, at the movies or in church.",Gold Standard,T5_BBOX,T5
112,4423,U.S. Hispanic population reached nearly 61 million in 2019 In millions,Describe the population evolution of Latinos from 2010 to 2019?,dataset/images/4423.png,"The U.S. Hispanic population reached 60.6 million in 2019 , up from 50.7 million in 2010 .",The U.S. Hispanic population reached 61 million in 2019.,"The U.S. Hispanic population reached 60.6 million in 2019, up from 50.7 million in 2010. Hispanics made up 18 % of the U.S. population in 2019, up from 16 % in 2010 and just 5 % in 1970.",Gold Standard,T5,T5_BBOX
113,1684,Most liberal Democrats see policies aimed at reducing climate change effects as positive for environment,What did the American adults think about policies aimed at reducing the effects of global climate change ?,dataset/images/1684.png,"When it comes to policies aimed at reducing the effects of global climate change , about half of U.S. adults ( 49 % ) believe these policies have net benefits for the environment . Three - in - ten say these policies make no difference for the environment and about two - in - ten ( 19 % ) believe these policies end up doing more harm than good for the environment .",About half of U.S. adults ( 49 % ) say policies aimed at reducing the effects of global climate change generally do more good than harm for the environment,"When it comes to policies aimed at reducing the effects of global climate change, about half of U.S. adults ( 49 % ) believe these policies have net benefits for the environment. Three - in - ten say these policies make no difference for the environment and about two - in - ten ( 19 % ) believe these policies end up doing more harm than good for the environment. As with other climate issues, there are sizable political divides over the effects of climate policies. About eight - in - ten liberal Democrats (",T5,T5_BBOX,Gold Standard
114,6999,More privacy and reputation management on social networking sites %of social networking site users who have taken these steps on their profile 56%,Explain the rise of concern in privacy reputation management on social media?,dataset/images/6999.png,"About two - thirds of internet users use social networking sites ) and all the major metrics for profile management are up , compared to 2009 : 63 % of them have deleted people from their “ friends ” lists , up from 56 % in 2009 ; 44 % have deleted comments made by others on their profile ; and 37 % have removed their names from photos that were tagged to identify them","More than half of social media users ( 56 % ) say they have taken steps to manage their privacy and reputation on their profile, up from 30 % in 2009.","63 % of them have deleted people from their “ friends ” lists, up from 56 % in 2009 ; 44 % have deleted comments made by others on their profile ; and 37 % have removed their names from photos that were tagged to identify them.",Gold Standard,T5_BBOX,T5
115,2197,"Across educational groups, Republicans give colleges & universities low ratings % who say colleges and universities have a positive effect on the way things are going in the country",what are the views of partisans youth on colleges and university impact?,dataset/images/2197.png,"About half ( 52 % ) of Republicans ages 18 to 29 say colleges and universities have a positive impact on the country , compared with just 27 % of those 65 and older . By contrast , there are no significant differences in views among Democrats by age , with comparable majorities of all age groups saying colleges and universities have a positive impact .","About seven - in - ten Republicans and Republican - leaning independents ( 73 % ) say colleges and universities have a positive effect on the way things are going in the country, compared with 36 % of Democrats and Democratic leaners.","Among Republicans and Republican leaners, younger adults have much more positive views of colleges and universities than older adults. About half ( 52 % ) of Republicans ages 18 to 29 say colleges and universities have a positive impact on the country, compared with just 27 % of those 65 and older. By contrast, there are no significant differences in views among Democrats by age, with comparable majorities of all age groups saying colleges and universities have a positive impact.",T5_BBOX,T5,Gold Standard
