number,id,title,question,img,Gold Standard,VLT5_S,VLT5,Summary 1,Summary 2,Summary 3
367,1924,"Most Republicans say it is possible to cut envi ronmental regulations and still protect air and water quality % of USS adults who say it is possible, /not possible to cut back on entroumentalregulations and still effectively",what percentage margin of Republican and Republican leaners hold that it is possible to cut back on environmental regulations and still effectively protect air and water quality?,dataset/images/1924.png,"By a 63%-35 % margin , most Republicans and Republican leaners hold that it is possible to cut back on environmental regulations and still effectively protect air and water quality in the U.S.","By a 63%-35 % margin, most Republicans and Republican leaners hold that it is possible to cut back on environmental regulations and still effectively protect air and water quality in the U.S.","Overall, 35 % of Republicans and Republican leaners say it is possible to cut back on environmental regulations and still effectively protect air and water quality, while a similar share ( 49 % ) says this is not possible.",Gold Standard,VLT5_S,VLT5
368,1909,"Jews, Hindus, Muslims most likely to Jews, live experience in Hindus, countries where their groups likely experience harassment % of each religious group's population living in countries where harassment population of their group occurred in 2015",What is the distribution of harassment victims among religious groups?,dataset/images/1909.png,"For instance , because of their dense concentration in a small number of countries , 99 % of Jews and Hindus lived in nations where members of their groups were harassed . And despite being one of the most geographically dispersed religious groups , 97 % of Muslims lived in countries where harassment of Muslims occurred in 2015 . ( By comparison , 78 % of Christians lived in places where Christians were harassed . )","smaller religious groups may not have been harassed in as many countries simply because they are not present in as many countries. For instance, because of their dense concentration in a small number of countries, 99 % of Jews and Hindus lived in nations where members of their groups were harassed. And despite being one of the most geographically dispersed religious groups, 97 % of Muslims lived in countries where harassment of Muslims occurred in 2015. By comparison, 78 % of Christians lived in places where Christians were harassed. )","The Center ’s analysis also finds that Hindus, Muslims and Folk Religions are the most likely to say their groups have been harassed in 2015. Indeed, nearly all Jews ( 99 % ) and Hindus ( 97 % ) have lived in these countries in 2015. Moreover, most Buddhists ( 72 % ) and Buddhists ( 78 % ) have lived in these countries.",VLT5,VLT5_S,Gold Standard
369,5652,Netanyahu viewed extremely poorly Views of Israeli Prime Minister Benjamin.Netanyahu,What is the opinion of Lebanese and Jordanians about Israeli Prime Minister Benjamin Netanyahu ?,dataset/images/5652.png,"Israeli Prime Minister Benjamin Netanyahu receives extremely negative ratings from nations in the Middle East and North Africa . Only 7 % in both Tunisia and Turkey , 1 % in Jordan and 0 % in Lebanon have a favorable view of Netanyahu . And the negative opinion in Jordan and Lebanon is particularly intense ; 95 % of Jordanians and 97 % of Lebanese say they have a very unfavorable view",95 % of Jordanians and 97 % of Lebanese say they have a very unfavorable view.,Both Lebanese and Jordanians had extremely negative views of the Israeli prime minister. Nearly nine - in - ten ( 91 % ) Jordanians had an unfavorable opinion of Netanyahu.,Gold Standard,VLT5_S,VLT5
370,2458,How involved are Christians in their congregations? % of people in each religious group who have high/medium//ow level of involvement in their congregations,Explain the congregational involvement among different religious groups?,dataset/images/2458.png,"Among all Christian religious traditions in the U.S. , Mormons are among the most highly involved in their congregations ( 67 % ) . Jehovah ’s Witnesses have comparable levels of highly involved members ( 64 % ) , while evangelical Protestants ( 43 % ) , members of historically black Protestant denominations ( 41 % ) and those in other Christian groups have lower average levels of congregational involvement .","Among all Christian religious traditions in the U.S., Mormons are among the most highly involved in their congregations ( 67 % ), according to an analysis based on three measures of congregational involvement : membership in a congregation, frequency of attendance at worship services and frequency of attendance at small group religious activities. Jehovah ’s Witnesses have comparable levels of highly involved members ( 64 % ), while evangelical Protestants ( 43 % ), members of historically black Protestant denominations ( 41 % ) and those in other Christian groups have lower average levels of congregational involvement. In addition, our Religious Landscape Study found that Mormons are among the groups most likely to believe the Bible is the word of God ( 91 % ), pray daily ( 85 % ), say religion is very important in their lives ( 84 % ) and read scripture regularly ( 77 % ).","The survey examined congregational involvement in four religious groups, conducted in summer and fall 2014, finds that, among the roughly half of Christians in the congregation, Christians in the least religiously appropriate places are very involved. In addition, roughly six - in - ten Mormons ( 67 % ) and Jews ( 67 % ) say the same. Among the roughly one - third of Mormons, roughly one - third ( 34 % ) are very involved. And among mainline Protestants, 61 % of Catholics are actively engaged in the tradition of the Evangeese Protestants.",VLT5_S,VLT5,Gold Standard
371,6926,News Interest vs. News Coverage,Explain the public tracked about economy?,dataset/images/6926.png,"The survey finds the public closely tracked news about the economy last week , but the top story by far is the agreement by the president . the economy was a distant second , at 19 % . economic news filled 19 % of the newshole .","The survey finds the public closely tracked news about the economy last week, but the top story by far is the agreement by the president and Congress to raise the debt limit. Nearly half ( 46 % ) followed news about the last - minute debt deal very closely ; the same percentage followed news about the economy very closely. However, 45 % say the debt limit agreement was the story they followed most closely ; the economy was a distant second, at 19 %.","Nearly two - in - ten ( 19 % ) say they followed news about the condition of the U.S. economy more closely than any other news last week. Another 19 % say they followed news about the possible deficit talks most closely, while 3 % say news about the economy was their top story.",VLT5,Gold Standard,VLT5_S
372,4903,Divide emerging in how partisans see Xi Jinping,Write details about divide emerging in how partisans see Xi JinPing?,dataset/images/4903.png,"While Republicans and Democrats were equally likely to lack confidence in the Chinese leader in 2018 and 2019 , there is a now a partisan gap : Republicans are more likely than Democrats to say they have no confidence at all in Xi ( 61 % vs. 51 % ) .","While Republicans and Democrats were equally likely to lack confidence in the Chinese leader in 2018 and 2019, there is a now a partisan gap : Republicans are more likely than Democrats to say they have little or no faith in Xi ( 82 % vs. 75 % ). Republicans are also more likely to say they have no confidence at all in Xi ( 61 % vs. 51 % ).","As has been the case for much of the last 15 years, Republicans are more likely than Democrats to express confidence in the Chinese leader. More than six - in - ten Republicans ( 61 % ) say they have no confidence in him, compared with just 22 % of Democrats. The share of Republicans who say they have no confidence in the Chinese leader has fallen from 69 % in 2018 to 44 % in 2019.",VLT5_S,VLT5,Gold Standard
373,6004,"Changing Reactions to a Gay Child Ifyou had a child who told you he or she was gay or lesbian, what would your reaction be?",How has the public's reactions to a gay child changed?,dataset/images/6004.png,"Nine - in - ten American adults ( 89 % ) said they would be upset if this happened , and just 9 % said they would not be . But views of homosexuality have shifted over time , and today nearly six - in - ten ( 57 % ) say they would not be upset if they had a child come out as gay or lesbian.","nine - in - ten American adults ( 89 % ) said they would be upset if this happened, and just 9 % said they would not be.","reactions to a gay child are changing. When a child told them to be gay, 79 % of the public said they would react in a way that made them feel like they were gay or lesbian, and by the time that she was, the proportion that said they would not react was up 9 percentage points.",VLT5,VLT5_S,Gold Standard
374,7540,Is Iraq Another Vie stnam? Is Iraq 4 Civil War? Mostly a civil war Iraq willbe ano ther Vie tram,What is the public opinion on the Iraq civil war?,dataset/images/7540.png,"The latest national survey by the Pew Research Center for the People & amp ; the Press , conducted Dec. 6 - 10 among 1,502 adults , finds that 52 % currently describe the violence in Iraq as “ mostly a civil war , ” rather than an insurgency against the U.S. and its allies . While this is largely unchanged from September , it represents a major shift from a year ago . In December 2005 , just 30 % viewed the violence in Iraq as mostly a civil war while 58 % said it was an insurgency aimed at the U.S. and its allies .","52 % currently describe the violence in Iraq as “ mostly a civil war, ” rather than an insurgency against the U.S. and its allies.","The survey finds that perceptions of Iraq are growing worse. The public remains divided over whether Iraq will be an Iraqi civil war or whether it will be an insurgent or not. In early 2006, as many said it would be mostly civil war ( 50 % ) as said it would be ( 33 % ). But by the end of 2006, the balance of opinion has flipped : Currently, 45 % say Iraq will be an Iraqi civil war, while 37 % say it will be mostly a military operation.",VLT5_S,Gold Standard,VLT5
375,6729,Obama in 2nd Term Job approval by party,Describe the trend in Obama's support among Independents.,dataset/images/6729.png,"Since December 2012 , Obama has lost the most ground among independents : Currently , only 32 % of independents approve of his job performance . In December , 53 % approved .","Since December 2012, Obama has lost the most ground among independents : Currently, only 32 % of independents approve of his job performance while 61 % disapprove. Obama ’s current rating among independents is only slightly higher than Bush ’s in November 2005 ( 29 % approved ). Like Bush, Obama retains broad support among members of his own party, though the share of Democrats who give him a positive jobs rating has fallen 10 points over the past year ( from 88 % to 78 % ). Obama ’s job rating among Republicans, extremely low last December ( 12 % ), has changed little since then.","About half of independents ( 47 % ) now say they approve of the job Obama is doing as president. Among Republicans, as many independents ( 42 % ) say the same.",VLT5,Gold Standard,VLT5_S
376,350,High favorable ratings for various groups in Jordan and Lebanon; splits arise in other nations,What is the favourable ratings of Philippines given by Christians and Muslims ?,dataset/images/350.png,"in Christian - majority Philippines , favorable views of Christians were nearly universal ( 97 % ) while just 57 % said the same of Muslims in their country .","in Jordan, where about 97 % of the population practices Islam, about nine - in - ten adults or more rated both Muslims and Christians favorably. Similar positivity appeared in Lebanon, with roughly three - quarters or more giving positive reviews to Christian, Sunni and Shiite religious groups.","In Jordan, Christians are given a very favorable rating ( 89 % favorable ), as are Christians ( 85 % ) and Muslims ( 76 % ). However, among Muslims, more than nine - in - ten have a favorable ( 97 % ) than an unfavorable ( 41 % ) opinion of the Islamic Republic. In Tunisia, only 26 % have a favorable opinion of Muslims, and about seven - in - ten ( 69 % ) say they have a positive view of Christians.",VLT5,VLT5_S,Gold Standard
377,614,Many see U.S. as their country’s top ally,What do Americans think about Israelis as the country they can most rely on as a reliable ally in the future?,dataset/images/614.png,"In Israel , 82 % name the U.S. as the country they can most rely on as a dependable ally in the future","In Israel, 82 % name the U.S. as the country they can most rely on as a dependable ally in the future.","the United States stands out to many around the world as the country their own nation can rely on most, according to a new Pew Research Center survey.",Gold Standard,VLT5,VLT5_S
378,6838,Fewer Republicans Say They Agree with the Tea Party Percent among Republicans and Republican leaners agreeing or disagreeing with the Tea Party,Describe the changes in Republican views regarding the Tea Party.,dataset/images/6838.png,In asking Republicans whether they agree or disagree with the Tea Party agreement has fallen from 48 % in March 2010 to 33 % .,"In asking Republicans whether they agree or disagree with the Tea Party, Pew Research surveys found that agreement has fallen to 33 % in our most recent poll conducted in late April this year. At one point agreement with the Tea Party dipped to 28 % in May 2013.","The share of Republicans who agree with the Tea Party has dropped sharply in recent years, from 37 % to 55 %. But over the past decade, Republican views of the Tea Party have changed little : Today, just 31 % of Republicans and Republican leaners agree with the Tea Party, while 58 % disagree with it.",Gold Standard,VLT5_S,VLT5
379,770,About half say Trump has not taken risks from the coronavirus seriously enough; a majority says news media have exaggerated the risks,What opinion do people have about the coronavirus period of Trump?,dataset/images/770.png,About half ( 52 % ) say either that Trump has not taken the risks seriously enough ( 23 % ) or that he has n’t taken them seriously at all ( 29 % ) ; 37 % say he ’s gotten the risks about right,About half ( 52 % ) say either that Trump has not taken the risks seriously enough ( 23 % ) or that he has n’t taken them seriously at all ( 29 % ),The survey finds that Trump is among the most likely to say he has not taken the risks from the coronavirus outbreak : 68 % say he has taken the risks seriously enough and 47 % say the news media have exaggerated the risks. Trump is also more likely than his Republican counterparts to say the news media have exaggerated the risks ( 56 % vs. 17 % ),Gold Standard,VLT5_S,VLT5
380,7443,Bush Approval Varying in a Narrow Range,Explain the Bush's job approval ratings over time?,dataset/images/7443.png,"President Bush ’s job approval rating reached its 2004 peak , at 58 % , in early January . Since February , Bush ’s ratings have fluctuated between 43 % and 48 % . Bush ’s current standing ( 48 % approve , 43 % disapprove ) is somewhat higher than the 43 % rating he received in early April , , and his 44 % mark in May .","President Bush ’s job approval rating reached its 2004 peak, at 58 %, in early January. Since February, Bush ’s ratings have fluctuated between 43 % and 48 %. Bush ’s current standing ( 48 % approve, 43 % disapprove ) is somewhat higher than the 43 % rating he received in early April.","As recently as last month, the president ’s job approval rating was more than 50 %, but it was still well below where it was in February. Currently, 59 % of the public approves of the way he is handling his job as president, while 55 % disapprove. In January, more than half approved of his performance than disapproved ( 49 % vs. 40 % ).",Gold Standard,VLT5,VLT5_S
381,797,Majority of U.S. poll workers are over 60,How is the trend of poll workers in 2018?,dataset/images/797.png,"around six - in - ten U.S. poll workers ( 58 % ) were ages 61 and older , including roughly a quarter ( 27 % ) who were over 70","In the 2018 general election, around six - in - ten U.S. poll workers ( 58 % ) were ages 61 and older, including roughly a quarter ( 27 % ) who were over 70.","The vast majority of poll workers in 2018 were ages 17 to 25, and under the age of 26. In 2018, one - third ( 34 % ) were ages 26 to 70, and roughly one - quarter ( 26 % ) were ages 41 to 70.",VLT5,VLT5_S,Gold Standard
382,5393,"Republicans stee too much regulation of financial industry, Democrats too little Which comes closer to your view? The government Has gone too far Has not gone far regulating financial enough regulating linstitutions",What is the opinion of north americans on the regulation of the financial industry?,dataset/images/5393.png,"Overall , about half of Americans ( 49 % ) say “ the government has not gone far enough in regulating financial institutions and markets , leaving the country at risk of another financial crisis , ” while 42 % say the government has gone too far , “ making it harder for the economy to grow .","Overall, about half of Americans ( 49 % ) say “ the government has not gone far enough in regulating financial institutions and markets, leaving the country at risk of another financial crisis, ” while 42 % say the government has gone too far, “ making it harder for the economy to grow. ” These views are largely unchanged over the past several years. By roughly two - to - one, Republicans and Republican - leaning independents are more likely to say financial regulations have gone too far ( 63 % ) than to say they have not gone far enough ( 31 % ). The balance of opinion among Democrats and Democratic leaners is reversed : More than twice as many Democrats say the government has not gone far enough in this area ( 62 % ) as say it has gone too far ( 29 % ).",nearly half of Americans ( 49 % ) say the government has not gone far enough in regulating financial institutions ; about the same share ( 42 % ) say it has gone too far in regulating institutions.,Gold Standard,VLT5,VLT5_S
383,6036,Favorability Toward Congress Little Changed % who have view of Congress,Describe the change in favorability towards Congress.,dataset/images/6036.png,Views of Congress continue to hover near record lows : Just 25 % of Americans view Congress favorably .,"Views of Congress continue to hover near record lows : Just 25 % of Americans view Congress favorably, while 69 % say they have an unfavorable opinion.","Just 25 % express a favorable opinion of Congress, while 69 % view it unfavorably. But since April 2014, the share of Americans with a positive view of Congress has fallen off to just 25 %.",VLT5_S,Gold Standard,VLT5
384,2820,Democrats on a possible Trump presidency: Most say he would be 'terrible' % of Democratic and president Democratic -leaning registered voters who say each,What are opinions about seven GOP candidates?,dataset/images/2820.png,Fully 64 % of Democratic and Democratic - leaning registered voters say Trump would make a terrible president . That is by far the highest percentage among the seven GOP candidates in the survey .,Fully 64 % of Democratic and Democratic - leaning registered voters say Trump would make a terrible president. That is by far the highest percentage among the seven GOP candidates in the survey.,"About seven - in - ten GOP voters ( 64 % ) say a possible Trump presidency would make a good or terrible president, while roughly as many ( 27 % ) say it would make a good president. Just 18 % say a possible Trump presidency would make a terrible or terrible president.",Gold Standard,VLT5_S,VLT5
385,3781,"Steps the govemment has inta ken since 9/11 have To prevent attacks like the one in Boston, there is.",What is the public opinion on the government's role in preventing terrorist attacks like the one in Boston?,dataset/images/3781.png,"49 % say there is more the government can do to prevent such attacks , but nearly as many ( 45 % ) say there is not much more that can be done .","49 % say there is more the government can do to prevent such attacks, but nearly as many ( 45 % ) say there is not much more that can be done.","Six - in - ten say that the government has not had much of an effect on preventing terrorist attacks like the one in Boston, while 45 % say there is more government involvement.",VLT5,VLT5_S,Gold Standard
386,24,News Interest vs. News Coverage Gill St Chrysler 19 Holocaust museum 12,Describe the proportion of Americans that most closely following the news about the economy.,dataset/images/24.png,Americans tracked news about the still - struggling economy closely . A quarter say this was the story they followed more closely than any other last week .,A quarter say this was the story they followed more closely than any other last week. Another 19 % say they followed the continuing financial troubles of U.S. automakers General Motors and Chrysler most closely.,A quarter of Americans ( 25 % ) say they followed news about the economy more closely than any other story last week.,VLT5_S,VLT5,Gold Standard
387,770,About half say Trump has not taken risks from the coronavirus seriously enough; a majority says news media have exaggerated the risks,What opinion do people have about the coronavirus period of Trump?,dataset/images/770.png,About half ( 52 % ) say either that Trump has not taken the risks seriously enough ( 23 % ) or that he has n’t taken them seriously at all ( 29 % ) ; 37 % say he ’s gotten the risks about right,About half ( 52 % ) say either that Trump has not taken the risks seriously enough ( 23 % ) or that he has n’t taken them seriously at all ( 29 % ),The survey finds that Trump is among the most likely to say he has not taken the risks from the coronavirus outbreak : 68 % say he has taken the risks seriously enough and 47 % say the news media have exaggerated the risks. Trump is also more likely than his Republican counterparts to say the news media have exaggerated the risks ( 56 % vs. 17 % ),VLT5_S,Gold Standard,VLT5
388,1134,"Nicotine, flavoring-only cartridges popular among older students who vape % ofU.S students who said they vaped the the last 30 days, 2018",Is vaping an inherent practice of College students?,dataset/images/1134.png,", vaping increased among college students from 2017 to 2018 , the most recent year for which MTF has released data for this group . In fact , the uptick in vaping among college students for nicotine ( from 6 % in 2017 to 16 % in 2018 ) and marijuana ( from 5 % to 11 % ) were among the greatest one - year increases for any substance asked about since the survey was first administered in 1975 .","In fact, the uptick in vaping among college students for nicotine ( from 6 % in 2017 to 16 % in 2018 ) and marijuana ( from 5 % to 11 % ) were among the greatest one - year increases for any substance asked about since the survey was first administered in 1975. Nicotine was the most commonly cited substance being used in e - cigarettes for most groups of students in 2018. Vaping just flavoring, by comparison, was more common for 12th graders ( 14 % ), 10th graders ( 13 % ) and eighth graders ( 8 % ) than for college students ( 5 % ) in the previous month.","Some 16 % of college students who have vaped the last 30 days said they did so, compared with 7 % of those who had only vaped 10th grade and 8 % of those who had gotten married or had no more than a year in college.",VLT5,Gold Standard,VLT5_S
389,6729,Obama in 2nd Term Job approval by party,Describe the trend in Obama's support among Independents.,dataset/images/6729.png,"Since December 2012 , Obama has lost the most ground among independents : Currently , only 32 % of independents approve of his job performance . In December , 53 % approved .","Since December 2012, Obama has lost the most ground among independents : Currently, only 32 % of independents approve of his job performance while 61 % disapprove. Obama ’s current rating among independents is only slightly higher than Bush ’s in November 2005 ( 29 % approved ). Like Bush, Obama retains broad support among members of his own party, though the share of Democrats who give him a positive jobs rating has fallen 10 points over the past year ( from 88 % to 78 % ). Obama ’s job rating among Republicans, extremely low last December ( 12 % ), has changed little since then.","About half of independents ( 47 % ) now say they approve of the job Obama is doing as president. Among Republicans, as many independents ( 42 % ) say the same.",Gold Standard,VLT5,VLT5_S
390,6557,"Figure 3 Computer Ownership, and Internet Use, 2012 (% ofall adults saying they...)",Compare the computer ownership among Latinos and whites.,dataset/images/6557.png,Latinos lag whites when it comes to owning a desktop or laptop computer or accessing the internet .,"Between 2009 and 2012, the share of Latino adults who say they go online at least occasionally increased 14 percentage points, rising from 64 % to 78%.2 Among whites, internet use rates also increased, but only by half as much — from 80 % in 2009 to 87 % in 2012.","Among Latinos, 70 % say they own a desktop or laptop computer, compared with 72 % of whites.",VLT5_S,Gold Standard,VLT5
391,6703,"Dysfunctional Government Most Important Problem Facing America Today Monthly trend, January 2008 October 2013 Economy in general Government/Ongress) Politicians","What are the most important problems that America is facing today, according to the Gallup report?",dataset/images/6703.png,33 % of Americans cite dissatisfaction with government and lawmakers as the nation ’s top issue . That figure surpasses the economy ( 19 % ) and unemployment ( 12 % ) .,"33 % of Americans now cite dissatisfaction with government and lawmakers as the nation ’s top issue. That figure not only surpasses the economy ( 19 % ) and unemployment ( 12 % ), but is the highest such percentage dating back to 1939 for what Gallup describes as “ dysfunctional government. ” Gallup said that the economy and jobs as the nation ’s top problem had already been declining this year. But, in its survey conducted Oct. 3 - 6, Americans who mentioned some dissatisfaction with government leadership as the top problem doubled to the 33 % mark.",Gallup found that the economy was the most important problem facing America today. 58 % said that the economy was the economy in general.,VLT5,Gold Standard,VLT5_S
392,2186,"Older adults, conservative Republicans most likely to say U.S. is top nation Statement that bestdescribes opinion of the US (%, U.S sta nds a bove all other countries in the world US one of greatest countries along with others There are other co untries that a re better than U.S",Describe the difference in views of U.S. global standing by race and ethnicity?,dataset/images/2186.png,"There is little difference in views of the nation ’s global standing by race and ethnicity : About three - in - ten whites ( 30 % ) and blacks ( 31 % ) and about a quarter of Hispanics ( 26 % ) view the U.S. as above all other nations . The majority view across each of these groups is that the U.S. is a great country , on par with some other countries .","Among Democrats, just 13 % of liberals say the U.S. stands above other nations, compared with 23 % of moderate and conservative Democrats. And nearly three - in - ten liberal Democrats ( 29 % ) say there are other countries better than the U.S. ; only 13 % of conservative and moderate Democrats say the same. Adults 65 and older are the most likely to say the U.S. stands above all other nations ( 44 % ). By contrast, just 12 % of those younger than 30 say the same, the lowest share in any age category. There is little difference in views of the nation ’s global standing by race and ethnicity : About three - in - ten whites ( 30 % ) and blacks ( 31 % ) and about a quarter of Hispanics ( 26 % ) view the U.S. as above all other nations.","About half of white adults ( 49 % ) say the U.S. is one of the greatest countries in the world, while just 17 % of Hispanics and 17 % of blacks say there are other countries that are better than the U.S.",Gold Standard,VLT5_S,VLT5
393,3204,Hawaii's Multiracial Population Differs From U.S.,Describe multiracial compositions in Hawaii and the U.S.,dataset/images/3204.png,"Hawaii ’s abundance of multiracial people with Asian and Native Hawaiian / Pacific Islander heritage differs from the makeup of the nation ’s overall multiracial population ( including adults and children ) . In the U.S. , the multiracial population is more evenly spread among biracial white and black ( 22 % ) , white and Asian ( 18 % ) and white and American Indian ( 16 % ) .","In the U.S., the multiracial population is more evenly spread among biracial white and black ( 22 % ), white and Asian ( 18 % ) and white and American Indian ( 16 % ).","Hawaii ’s multiracial population is smaller than that of the U.S. population overall, which itself is home to 42 % of the nation ’s multiracial population. But what makes the U.S. different from Hawaii ’s? The share of non - Hispanic whites in Hawaii is smaller than that of the U.S. Overall, though the U.S. remains home to more Hispanics ( 26 % ) than its white neighbors ( 8 % ).",VLT5_S,Gold Standard,VLT5
394,6980,"Republicans Ratings Continue to Offer Republicans Lackluster Ratings Continue for the Field As a group, the Republican candidates.are...",Describe the psychedelic Republican political views,dataset/images/6980.png,"Republican voters continue to express mixed views of the party ’s presidential field . Roughly half ( 51 % ) of Republican and Republican - leaning registered voters say the candidates are excellent or good , while 44 % say they are only fair or poor","Roughly half ( 51 % ) of Republican and Republican - leaning registered voters say the candidates are excellent or good, while 44 % say they are only fair or poor.","The latest survey by the Pew Research Center of Republican and Republican - leaning registered voters finds that the field is excellent or good. Currently, 49 % say the field is only fair or poor, while 43 % say the candidates are only fair or poor.",Gold Standard,VLT5,VLT5_S
395,5118,"Since 2015, Republicans' views of the impact of colleges have turned much more negative % who say colleges and universities have a effect on the way things are going in the country",Compare partisans opinions about the effect of colleges in the country.,dataset/images/5118.png,"In 2017 , just 36 % of Republicans and Republican leaners said colleges and universities have a positive effect on the way things are going in the country , an 18 - percentage - point decline from two years prior . By contrast , 72 % of Democrats and Democratic leaners said colleges and universities have a positive effect , which was little changed from prior years .","In 2017, just 36 % of Republicans and Republican leaners said colleges and universities have a positive effect on the way things are going in the country. By contrast, 72 % of Democrats and Democratic leaners said colleges and universities have a positive effect.","The share of Republicans who hold negative views of the effect of colleges and universities on the country has grown significantly since 2015. Nearly six - in - ten Republicans and Republican leaners ( 58 % ) now say colleges have a negative effect. Two years ago, by contrast, 54 % of Democrats said colleges were having a positive effect.",Gold Standard,VLT5,VLT5_S
396,2820,Democrats on a possible Trump presidency: Most say he would be 'terrible' % of Democratic and president Democratic -leaning registered voters who say each,What are opinions about seven GOP candidates?,dataset/images/2820.png,Fully 64 % of Democratic and Democratic - leaning registered voters say Trump would make a terrible president . That is by far the highest percentage among the seven GOP candidates in the survey .,Fully 64 % of Democratic and Democratic - leaning registered voters say Trump would make a terrible president. That is by far the highest percentage among the seven GOP candidates in the survey.,"About seven - in - ten GOP voters ( 64 % ) say a possible Trump presidency would make a good or terrible president, while roughly as many ( 27 % ) say it would make a good president. Just 18 % say a possible Trump presidency would make a terrible or terrible president.",VLT5_S,VLT5,Gold Standard
397,6177,Few say current military effort in Iraq and Syria is going well % who say USS military Syria campaign againstIslamic militants say in Iraq military and Syria campaign lisgoing againstIslamic,Describe how the public feels about the U.S. military effort in Iraq and Syria in December 2015.,dataset/images/6177.png,About six - in - ten ( 58 % ) say the U.S. effort against Islamic militants in Iraq and Syria is going either not too well or not at all well ; 35 % say the campaign is going either very or fairly well .,About six - in - ten ( 58 % ) say the U.S. effort against Islamic militants in Iraq and Syria is going either not too well ( 39 % ) or not at all well ( 19 % ) ; 35 % say the campaign is going either very ( 7 % ) or fairly ( 28 % ) well.,"Just 35 % of Americans say the current military effort in Iraq and Syria is going very or fairly well. The share saying the military effort is going not too well or not at all well is little changed from December 2015, when 58 % said the campaign was going very or fairly well.",VLT5_S,VLT5,Gold Standard
398,1924,"Most Republicans say it is possible to cut envi ronmental regulations and still protect air and water quality % of USS adults who say it is possible, /not possible to cut back on entroumentalregulations and still effectively",what percentage margin of Republican and Republican leaners hold that it is possible to cut back on environmental regulations and still effectively protect air and water quality?,dataset/images/1924.png,"By a 63%-35 % margin , most Republicans and Republican leaners hold that it is possible to cut back on environmental regulations and still effectively protect air and water quality in the U.S.","By a 63%-35 % margin, most Republicans and Republican leaners hold that it is possible to cut back on environmental regulations and still effectively protect air and water quality in the U.S.","Overall, 35 % of Republicans and Republican leaners say it is possible to cut back on environmental regulations and still effectively protect air and water quality, while a similar share ( 49 % ) says this is not possible.",Gold Standard,VLT5,VLT5_S
399,6132,"Since May, Republicans Have Become More Supportive of Path to Legal Status % saying there should be a way for undocumented immigrants to say in the U.S., ifrequirements are met",Compare partisans views about providing legal status to undocumented immigrants.,dataset/images/6132.png,Republicans ( 66 % ) continue to be less likely than independents ( 74 % ) or Democrats ( 80 % ) to support a path to legal status for those in the U.S. illegally .,Republicans ( 66 % ) continue to be less likely than independents ( 74 % ) or Democrats ( 80 % ) to support a path to legal status for those in the U.S. illegally.,"Currently, 56 % of Republicans say there should be a way for undocumented immigrants to say there is a way for undocumented immigrants to say in the U.S., if certain requirements are met ; far fewer ( 56 % ) of Democrats say this",VLT5,Gold Standard,VLT5_S
400,1823,"Most U.S. Muslims say Trump is unfriendly toward Muslim Americans % of U.S Muslims who say the president is 'U.S Mus slims Conce rned About Their Place in Society, but Continue to Believe in",How did Muslim Americans feel during the Trump government?,dataset/images/1823.png,"About three - quarters of Muslim Americans ( 74 % ) say President Donald Trump is unfriendly toward them . Just 19 % say they approve of the job Trump is doing as president , and among Muslims who reported voting last November , only 8 % say they cast their ballots for him","About three - quarters of Muslim Americans ( 74 % ) say President Donald Trump is unfriendly toward them, according to a new Pew Research Center survey.","About three - quarters of Muslim Americans ( 74 % ) say President Trump is unfriendly toward them, according to a new Pew Research Center survey.",Gold Standard,VLT5,VLT5_S
401,5610,"Number of refugees admitted each fiscal year into the U.S., in thousands, by religious affiliation",What is the trend in religious affiliation of refugees admitted to the U.S ?,dataset/images/5610.png,"Refugees with no religious affiliation were 5 % of all refugees admitted to the U.S. in fiscal 2002 . Since then , the share of refugees with no religious affiliation has decreased , amounting to less than 1 % of refugees entering the U.S. during fiscal 2017 .","far more Christian than Muslim refugees have been admitted into the U.S. since fiscal 2002. Nearly 425,000 Christian refugees entered the U.S. over that period, accounting for 46 % of all refugee arrivals. At the same time, about a third ( 33 % ) of all refugees admitted to the U.S. between 2002 and 2017, or slightly more than 302,000, were Muslim.","The vast majority of all refugees entering the U.S. are Christian. Of the thousands of refugees admitted to the U.S. in fiscal year 2017, Christians made up a slim majority ( 53 % ) of the nearly 14,000 refugees admitted to the U.S. in 2002.",VLT5_S,VLT5,Gold Standard
402,756,Germans more likely to see the U.S. as an important partner than Americans are to see Germany as one,What opinion do Americans have about the second most important foreign policy partner?,dataset/images/756.png,"Among Americans , 36 % choose the United Kingdom as the most or second - most important foreign policy partner","Among Americans, 36 % choose the United Kingdom as the most or second - most important foreign policy partner. Roughly two - in - ten say China ( 23 % ) and Canada ( 20 % ) are top partners, but Germany is chosen by only 13 % as the most important partner, in between Israel at 15 % and Mexico at 12 %.",Americans are much more likely to name the UK ( 36 % ) than the UK ( 23 % ),Gold Standard,VLT5,VLT5_S
403,424,Majority of parents say their child 11 or younger watches videos on YouTube,Describe the trend among parents about their children watching videos on youtube?,dataset/images/424.png,"Fully 89 % of parents of a child age 5 to 11 say their child watches videos on YouTube , as do 81 % of those who have a child age 3 to 4 and 57 % of those who have child age 2 or younger .","Fully 89 % of parents of a child age 5 to 11 say their child watches videos on YouTube, as do 81 % of those who have a child age 3 to 4 and 57 % of those who have child age 2 or younger","Most parents of a child age 11 or younger say their child watches videos on YouTube. About eight - in - ten parents of a child age 11 or younger say this, compared with 89 % of parents of a parent who has multiple children.",Gold Standard,VLT5,VLT5_S
