number,id,title,question,img,Gold Standard,BART,T5,Summary 1,Summary 2
236,1701,"Number of refugees admitted to the U.S. falls in 2018 Refugees admitted to the U.S., by fiscal year 200, 000",What happened to the number of refugees who entered in the U.S. in 2018?,dataset/images/1701.png,"Earlier this year , a Pew Research Center analysis of State Department data found a sharp decline in the number of refugees who have entered the U.S. so far in fiscal year 2018 compared with prior years .",the number of refugees who have entered the U.S. so far in fiscal year 2018 compared with prior years.,the number of refugees who have entered the U.S. so far in fiscal year 2018 compared with prior years.,T5,Gold Standard
237,1847,"Democrats lead on several issues; public is divided on which party can better handle economy, deficit Which party could do a betterjob dealing with (%)?",What are the current views on which party can better deal with taxes?,dataset/images/1847.png,"Currently , 43 % say the Democrats can better deal with taxes , while 36 % prefer the Republican Party","The public is divided on which party can better deal with taxes. About six - in - ten Democrats and Democratic leaners ( 38 % ) say either party can do a better job dealing with taxes, while just 21 % say neither.","43 % say the Democrats can better deal with taxes, while 36 % prefer the Republican Party.",T5,BART
238,5068,Wide partisan gap in views of seriousness of government shutdown % who say the government shutdown is a serious problem for the country,What are the partisan views about the seriousness of government shutdown?,dataset/images/5068.png,Nearly eight - in - ten Democrats and Democratic - leaning independents ( 79 % ) say the shutdown is a “ very serious problem ” ; fewer than half as many Republicans and Republican leaners ( 35 % ) say the same,Nearly eight - in - ten Democrats and Democratic - leaning independents ( 79 % ) say the shutdown is a “ very serious problem ”.,Nearly eight - in - ten Democrats and Democratic - leaning independents ( 79 % ) say the shutdown is a “ very serious problem ”.,T5,BART
239,6703,"Dysfunctional Government Most Important Problem Facing America Today Monthly trend, January 2008 October 2013 Economy in general Government/Ongress) Politicians","What are the most important problems that America is facing today, according to the Gallup report?",dataset/images/6703.png,33 % of Americans cite dissatisfaction with government and lawmakers as the nation ’s top issue . That figure surpasses the economy ( 19 % ) and unemployment ( 12 % ) .,"But now, as the White House and Congress find themselves in yet another showdown over the budget and debt ceiling, Gallup reports that 33 % of Americans now cite dissatisfaction with government and lawmakers as the nation ’s top issue. That figure not only surpasses the economy ( 19 % ) and unemployment ( 12 % ).","Gallup reports that 33 % of Americans now cite dissatisfaction with government and lawmakers as the nation ’s top issue. That figure not only surpasses the economy ( 19 % ) and unemployment ( 12 % ), but is the highest such percentage dating back to 1939.",BART,Gold Standard
240,5302,"Russian and American opinions of the other country's president have generally remained low for many years American confidence in Putiny Russian confidence in U.S. Presidents Bush ('o3 '88), Obama (oog '15) and Trump (17-18) to do the right thing regarding",Describe some information about Russian and American opinion of the other country's president?,dataset/images/5302.png,"Among both Americans and Russians , there is little confidence in the ability of the other nation ’s president to do the right thing regarding world affairs . Only 21 % of Americans have confidence in Russian President Vladimir Putin to do the right thing – similar to the share who had confidence in him over much of the past decade .",Only 21 % of Americans have confidence in Russian President Vladimir Putin to do the right thing – similar to the share who had confidence in him over much of the past decade.,"Among both Americans and Russians, there is little confidence in the ability of the other nation ’s president to do the right thing regarding world affairs",T5,BART
241,3463,"Inflation, Crime, Health Care and Corruption Top Concerns",What do people think about major problems of the country?,dataset/images/3463.png,"about rising prices : 85 % say this is a major problem in the country . And at least two - thirds also say a lack of employment opportunities and the gap between the rich and the poor are very big problems . In addition to economic concerns , large majorities also describe crime ( 83 % ) , health care ( 83 % ) , political corruption ( 78 % ) and poor quality schools ( 64 % ) as major problems .",The survey also finds widespread concern about rising prices : 85 % say this is a major problem in the country.,The survey finds widespread concern about rising prices : 85 % say this is a major problem in the country. And at least two - thirds also say a lack of employment opportunities and the gap between the rich and the poor are very big problems.,Gold Standard,BART
242,424,Majority of parents say their child 11 or younger watches videos on YouTube,Describe the trend among parents about their children watching videos on youtube?,dataset/images/424.png,"Fully 89 % of parents of a child age 5 to 11 say their child watches videos on YouTube , as do 81 % of those who have a child age 3 to 4 and 57 % of those who have child age 2 or younger .",YouTube has emerged as a key platform for both younger and older kids. Fully 89 % of parents of a child age 5 to 11 say their child watches videos on YouTube.,Fully 89 % of parents of a child age 5 to 11 say their child watches videos on YouTube.,BART,Gold Standard
243,1006,Smartphone owners' preferred way of accessing the internet varies substantially by age,Describe the growth of people who mostly use the internet on a smartphone?,dataset/images/1006.png,"Some 46 % of smartphone owners say when using the internet , they mostly do so on their phone .","Some 46 % of smartphone owners say when using the internet, they mostly do so on their phone. This represents a double - digit increase from 2013, when 34 % of these users said this. At the same time, the share of smartphone users who say a desktop, laptop or tablet computer is their primary device for going online has fallen from 53 % in 2013 to 30 % today.","For those who own a smartphone, these devices now outpace more traditional means of accessing the web. Some 46 % of smartphone owners say when using the internet, they mostly do so on their phone. This represents a double - digit increase from 2013, when 34 % of these users said this.",T5,Gold Standard
244,4051,"Figure 2 Employment Rate, Fourth Quarters, 2007 and 2008","What changes occurred to born Hispanics , native - born Hispanics and blacks in unemployment during 2007 and 2008?",dataset/images/4051.png,"Changes in unemployment during the recession reveal a rapidly worsening situation for foreign - born Hispanics , native - born Hispanics and blacks in the labor market . The unemployment rates for these groups increased by similar amounts from the fourth quarter of 2007 to the fourth quarter of 2008 .",Changes in unemployment during the recession reveal a rapidly worsening situation for foreign - born Hispanics. The unemployment rates for these groups increased by similar amounts from the fourth quarter of 2007 to 2008.,"Changes in unemployment during the recession reveal a rapidly worsening situation for foreign - born Hispanics, native - born Jews and blacks in the labor market. The unemployment rates for these groups increased by similar amounts from the fourth quarter of 2007 to 2008.",T5,Gold Standard
245,5028,Average Monthly Increase in Mexican- --oorn Population That Entered the U.S in 1990 for Later. 2004 to 2007,Describe the trend in Mexican born population entering US?,dataset/images/5028.png,The trend line slopes up more steeply in 2004 and 2005 than in 2006 . It shows a broad trend of increasing growth from the last quarter of 2004 through the second quarter of 2006 and a flattening of the growth rate since then .,Applying this technique to monthly data and quarterly population averages as well as to three - month rolling averages produces similar results : The trend line slopes up more steeply in 2004 and 2005 than in 2006.1 It shows a broad trend of increasing growth from the last quarter of 2004 through the second quarter of 2006 and a flattening of the growth rate since then.,Applying this technique to monthly data and quarterly population averages as well as to three - month rolling averages produces similar results : The trend line slopes up more steeply in 2004 and 2005 than in 2006.,BART,Gold Standard
246,3337,Most Say Inequality Is a Problem % Very big problem Africa Tunisia Nigeria Europe,How is inequality rated in Latin America and Middle East?,dataset/images/3337.png,"A median of 68 % rate it a very big problem in Latin America , while 60 % say the same in the Middle East .","In Latin America and Middle East, majorities say inequality is a very big problem, including 76 % who say it is a big problem. In Africa, a similar share ( 76 % ) says inequality is not a problem.","A median of 68 % rate it a very big problem in Latin America, while 60 % say the same in the Middle East.",Gold Standard,T5
247,6132,"Since May, Republicans Have Become More Supportive of Path to Legal Status % saying there should be a way for undocumented immigrants to say in the U.S., ifrequirements are met",Compare partisans views about providing legal status to undocumented immigrants.,dataset/images/6132.png,Republicans ( 66 % ) continue to be less likely than independents ( 74 % ) or Democrats ( 80 % ) to support a path to legal status for those in the U.S. illegally .,Republicans ( 66 % ) continue to be less likely than independents ( 74 % ) or Democrats ( 80 % ) to support a path to legal status for those in the U.S. illegally.,Republicans ( 66 % ) continue to be less likely than independents ( 74 % ) or Democrats ( 80 % ) to support a path to legal status for those in the U.S. illegally.,Gold Standard,T5
248,3404,Mobile Payments Popular in Africa % yes make or receive payments on their phones 68,In which country is the percentage of mobile payment use the highest in Africa?,dataset/images/3404.png,Nearly seven - in - ten Kenyans ( 68 % ) who own a cell phone say they regularly use their mobile device to make or receive payments .,"Even though only 29 % of mobile owners in South Africa and 24 % in Senegal say they use their phones for monetary transactions, these are still among the highest percentages across all the countries surveyed.","While making or receiving payments is one of the least common cell phone activities, it is much more common in the region where mobile money is a phenomenon – Africa, and more specifically, Kenya and its neighbor Uganda. Nearly seven - in - ten Kenyans ( 68 % ) who own a cell phone say they regularly use their mobile device to make or receive payments. Half in Uganda say this as well. Meanwhile, even though only 29 % of mobile owners in South Africa and 24 % in Senegal say they use their phones for monetary transactions, these are still among the highest percentages across all the countries surveyed. Only in Russia (",T5,Gold Standard
249,1924,"Most Republicans say it is possible to cut envi ronmental regulations and still protect air and water quality % of USS adults who say it is possible, /not possible to cut back on entroumentalregulations and still effectively",what percentage margin of Republican and Republican leaners hold that it is possible to cut back on environmental regulations and still effectively protect air and water quality?,dataset/images/1924.png,"By a 63%-35 % margin , most Republicans and Republican leaners hold that it is possible to cut back on environmental regulations and still effectively protect air and water quality in the U.S.","By a 63%-35 % margin, most Republicans and Republican leaners hold that it is possible to cut back on environmental regulations and still effectively protect air and water quality in the U.S.","By a 63%-35 % margin, most Republicans and Republican leaners hold that it is possible to cut back on environmental regulations and still effectively protect air and water quality in the U.S.",Gold Standard,BART
250,1847,"Democrats lead on several issues; public is divided on which party can better handle economy, deficit Which party could do a betterjob dealing with (%)?",What are the current views on which party can better deal with taxes?,dataset/images/1847.png,"Currently , 43 % say the Democrats can better deal with taxes , while 36 % prefer the Republican Party","The public is divided on which party can better deal with taxes. About six - in - ten Democrats and Democratic leaners ( 38 % ) say either party can do a better job dealing with taxes, while just 21 % say neither.","43 % say the Democrats can better deal with taxes, while 36 % prefer the Republican Party.",Gold Standard,T5
251,2671,"Older Republicans are particularly likely to say fathers shouldn't be alle to take paternity leave % able saying fathers should paid NOT unpaid, be able to take leave, paid adoption or unpaid, following birth or paid adoption unpaid, of child Ages 18-29 30-49 50-64 65+",What are differences in partisan views among different age groups when it comes to thinking men have no responsibility for their kids?,dataset/images/2671.png,"Older Republicans offer considerably different views than their younger counterparts . Four - in - ten Republicans ages 65 or older say fathers should n’t be able to take leave from work following the birth or adoption of a child , compared with 20 % of Republicans ages 50 to 64 , 10 % of those 30 to 49 , and 14 % of those 18 to 29 . Age differences are relatively small among Democrats .","Older Republicans offer considerably different views than their younger counterparts. Four - in - ten Republicans ages 65 or older say fathers should n’t be able to take leave from work following the birth or adoption of a child, compared with 20 % of Republicans ages 50 to 64, 10 % of those 30 to 49. Age differences are relatively small among Democrats.",Older Republicans offer considerably different views than their younger counterparts. Four - in - ten Republicans ages 65 or older say fathers should n’t be able to take leave from work following the birth or adoption of a child. Age differences are relatively small among Democrats.,BART,T5
252,4259,"Somalia 's global diaspora Total number of Somali migrants living outside of Somalia in 2015, in thousands Finland 10",Discuss about Somali migrants living outside of Somalia in other countries?,dataset/images/4259.png,"At nearly half a million , Kenya hosts the largest number of Somali migrants of any other country , according to UN estimates . Not far behind is Ethiopia with 440,000 Somali migrants . Estimates from the United Nations indicate that the total number living in the U.S. was around 150,000 by 2015 .","Almost two - thirds of the global Somali diaspora live in neighboring countries. At nearly half a million, Kenya hosts the largest number of Somali migrants ( both refugees and nonrefugees ) of any other country, according to UN estimates. Not far behind is Ethiopia with 440,000 Somali migrants.","Almost two - thirds of the global Somali diaspora live in neighboring countries. At nearly half a million, Kenya hosts the largest number of Somali migrants ( both refugees and nonrefugees ) of any other country, according to UN estimates. Not far behind is Ethiopia with 440,000 Somali migrants.",BART,T5
253,6926,News Interest vs. News Coverage,Explain the public tracked about economy?,dataset/images/6926.png,"The survey finds the public closely tracked news about the economy last week , but the top story by far is the agreement by the president . the economy was a distant second , at 19 % . economic news filled 19 % of the newshole .","The survey finds the public closely tracked news about the economy last week, but the top story by far is the agreement by the president and Congress to cut federal spending and raise the debt limit. Nearly half ( 46 % ) followed news About the last - minute debt deal very closely. However, 45 % say the Debt limit agreement was the story they followed most closely ; the economy was a distant second, at 19 %. Other economic news filled 19 % of the newshole.","The survey finds the public closely tracked news about the economy last week, but the top story by far is the agreement by the president and Congress to cut federal spending and raise the debt limit. Nearly half ( 46 % ) followed news about debt deal very closely. However, 45 % say the Debt limit agreement was the story they followed most closely ; the economy was a distant second, at 19 %. Other economic news filled 19 % of the newshole.",Gold Standard,BART
254,1731,"Swedes score lowest on scale of nationalist, anti-immigrant, anti-religious minority attitudes (NIM); Italians the highest","Describe the rates of nationalis, anti-immigrant and anti-religious attitudes rates in different European countries .",dataset/images/1731.png,"In Sweden , just 8 % of those surveyed scored higher than 5 , the lowest amount in any country , while in Italy , 38 % did , the highest share in any country . In most countries , the share scoring 5.01 or higher was between 15 % and 25 % . For example , in both Norway and France , 19 % of respondents scored 5.01 or higher .","Relatively few adults in every country surveyed score above 5 on the scale. But there is considerable variation across countries. In Sweden, just 8 % of those surveyed scored higher than 5, the lowest amount in any country","relatively few adults in every country surveyed score above 5 on the scale. But there is considerable variation across countries. In Sweden, just 8 % of those surveyed scored higher than 5, the lowest amount in any country, while in Italy, 38 % did, the highest share in all country. In most countries, the share scoring 5.01 or higher was between 15 % and 25 %.",BART,T5
255,6000,General Support for TPP thing? Would STPP bea good thing for our country or a bad thing?,What is the opinion of people in different countries over TPP in their country?,dataset/images/6000.png,"Overall , 49 % of Americans say that TPP would be a good thing for their country , while 29 % think it would be a bad thing . However , support for this free trade agreement is much more robust in most other TPP nations surveyed . This includes two - thirds or more of Vietnamese ( 89 % good thing ) , Peruvians ( 70 % ) and Chileans ( 67 % ) . And at least half or more in Mexico ( 61 % ) , Japan ( 53 % ) , Australia ( 52 % ) and Canada ( 52 % ) also support the deal . In Malaysia , only 38 % support the agreement .","Overall, 49 % of Americans say that TPP would be a good thing for their country.","Overall, 49 % of Americans say that TPP would be a good thing for their country.",Gold Standard,BART
256,4863,Majority of Americans say stricter environmental laws are 'worth the cost % ofU.S adults who say,Describe the opinion of Americans in 2019 on the costs of environmental regulations?,dataset/images/4863.png,"A 63 % majority of Americans say stricter environmental regulations are worth the cost . When asked to choose , most Americans say stricter environmental regulations are worthwhile , while 30 % think such laws and regulations cost too many jobs and hurt the economy .","As of early 2019, 81 % of Democrats ( and independents who lean to the Democratic Party ) had a positive view of stricter environmental regulations.",A 63 % majority of Americans say stricter environmental regulations are worth the cost.,T5,Gold Standard
257,6959,News Interest vs. News Coverage News Interest,What does the public think about the importance of news about the US economy and Occupy Wall Street?,dataset/images/6959.png,"About a quarter ( 27 % ) say news about the condition of the U.S. economy was their top story , while just 7 % cite the Occupy Wall Street protests as their top story .","About a quarter ( 27 % ) say news about the condition of the U.S. economy was their top story. Looking at a separate measure, 43 % say they followed economic news very closely.",About a quarter ( 27 % ) say news about the condition of the U.S. economy was their top story.,BART,T5
258,4262,Workers use social media at work for many reasons; taking a mental break is one of the most common % of workers who sever use social media platforms to,What do Americans use social media for?,dataset/images/4262.png,17 % of workers say they use social media to build or strengthen personal relationships at work .,17 % of workers say they use social media to build or strengthen personal relationships at work.,17 % of workers say they use social media to build or strengthen personal relationships at work – but the transparency that social media facilitates comes with costs as well as benefits.,Gold Standard,BART
259,3336,It Is More Important to Have Strong Ties with,What percentage of Nigerians consider ties with China as more important in comparison to U.S.?,dataset/images/3336.png,"In Nigeria , 37 % say a strong relationship with China is more important , compared with just 17 % who say this about the U.S.","In Nigeria, 37 % say a strong relationship with China is more important, compared with just 17 % who say this about the U.S.","In Nigeria, 37 % say a strong relationship with China is more important, compared with just 17 % who say this about the U.S.",BART,T5
260,6835,Student enrollment at majority-minority public schools,Describe the increase in minorities in majority-minority schools.,dataset/images/6835.png,"The share of black , Hispanic and Asian students enrolled in majority - minority schools also increased during this time — for Hispanics , from 73 % to 79 % , for example .","the share of white students enrolled in majority - minority schools has nearly doubled over the past two decades, from 8.4 % in 1990 to 15.9 % in 2010.","the share of black, Hispanic and Asian students enrolled in majority - minority schools also increased during this time — for Hispanics, from 73 % to 79 %, for example.",T5,BART
261,1799,People Have Varying Views About When It Is OK Or Not OK To Use Their Cellphones % of adults who believe itis OK or not to use a cellphone in these situations Generally not OK Generally OK,Where do the few Americans think about the use of their cellphones at church or at the movie theater?,dataset/images/1799.png,"far fewer found it acceptable to use cellphones during a meeting , at the movies or in church","In a 2014 Pew Research Center survey, roughly three - quarters of adults said it was OK for people to use their phones while walking down the street, riding public transit or waiting in line, but far fewer found it acceptable to use cellphones during a meeting, at the movies or in church.","In a 2014 Pew Research Center survey, roughly three - quarters of adults said it was OK for people to use their phones while walking down the street, riding public transit or waiting in line, but far fewer found it acceptable to use cellphones during a meeting, at the movies or in church.",T5,Gold Standard
262,5302,"Russian and American opinions of the other country's president have generally remained low for many years American confidence in Putiny Russian confidence in U.S. Presidents Bush ('o3 '88), Obama (oog '15) and Trump (17-18) to do the right thing regarding",Describe some information about Russian and American opinion of the other country's president?,dataset/images/5302.png,"Among both Americans and Russians , there is little confidence in the ability of the other nation ’s president to do the right thing regarding world affairs . Only 21 % of Americans have confidence in Russian President Vladimir Putin to do the right thing – similar to the share who had confidence in him over much of the past decade .",Only 21 % of Americans have confidence in Russian President Vladimir Putin to do the right thing – similar to the share who had confidence in him over much of the past decade.,"Among both Americans and Russians, there is little confidence in the ability of the other nation ’s president to do the right thing regarding world affairs",BART,Gold Standard
263,2199,More than a quarter of Americans have chosen to not post something online after seeing harassment of others % of USS adults who have harassing behaviors directed toward others online,What reactions have Americans had after witnessing online harassment?,dataset/images/2199.png,"Roughly one - quarter of Americans ( 27 % ) say they have chosen not to post something after witnessing online harassment , while a similar share ( 28 % ) say they adjusted their privacy settings after seeing this type of online behavior .",Roughly one - quarter of Americans ( 27 % ) say they have chosen not to post something after witnessing online harassment. 13 % of U.S. adults have stopped using an online service altogether after seeing others being harassed.,Witnessing online harassment has led some bystanders to change their online behavior. Roughly one - quarter of Americans ( 27 % ) say they have chosen not to post something after witnessing online harassment. 13 % of U.S. adults have stopped using an online service altogether after seeing others being harassed.,Gold Standard,BART
264,1028,Americans split on whether fact-checkers favor one side; most Republicans say this is the case,Describe the trend among Americans towards data-checking organizations?,dataset/images/1028.png,"Overall , Americans are split in their views of fact - checkers : Half say fact - checking efforts by news outlets and other organizations tend to deal fairly with all sides , while about the same portion ( 48 % ) say they tend to favor one side","Americans are split in their views of fact - checkers : Half say fact - checking efforts by news outlets and other organizations tend to deal fairly with all sides, while about the same portion ( 48 % ) say they tend to favor one side.","Americans are split in their views of fact - checkers : Half say fact - checking efforts by news outlets and other organizations tend to deal fairly with all sides, while about the same portion ( 48 % ) say they tend to favor one side, according to a Pew Research Center survey conducted Feb. 19 to March 4, 2019.",Gold Standard,BART
265,5393,"Republicans stee too much regulation of financial industry, Democrats too little Which comes closer to your view? The government Has gone too far Has not gone far regulating financial enough regulating linstitutions",What is the opinion of north americans on the regulation of the financial industry?,dataset/images/5393.png,"Overall , about half of Americans ( 49 % ) say “ the government has not gone far enough in regulating financial institutions and markets , leaving the country at risk of another financial crisis , ” while 42 % say the government has gone too far , “ making it harder for the economy to grow .","By roughly two - to - one, Republicans and Republican - leaning independents are more likely to say financial regulations have gone too far ( 63 % ) than to say they have not gone far enough ( 31 % ).","Overall, about half of Americans ( 49 % ) say “ the government has not gone far enough in regulating financial institutions and markets, leaving the country at risk of another financial crisis, ” while 42 % say.",Gold Standard,T5
266,6177,Few say current military effort in Iraq and Syria is going well % who say USS military Syria campaign againstIslamic militants say in Iraq military and Syria campaign lisgoing againstIslamic,Describe how the public feels about the U.S. military effort in Iraq and Syria in December 2015.,dataset/images/6177.png,About six - in - ten ( 58 % ) say the U.S. effort against Islamic militants in Iraq and Syria is going either not too well or not at all well ; 35 % say the campaign is going either very or fairly well .,About six - in - ten ( 58 % ) say the U.S. effort against Islamic militants in Iraq and Syria is going either not too well ( 39 % ) or not at all well ( 19 % ).,About six - in - ten ( 58 % ) say the U.S. effort against Islamic militants in Iraq and Syria is going either not too well ( 39 % ) or not at all well ( 19 % ) ; 35 % say the campaign is going ( 28 % ) well.,T5,BART
267,6036,Favorability Toward Congress Little Changed % who have view of Congress,Describe the change in favorability towards Congress.,dataset/images/6036.png,Views of Congress continue to hover near record lows : Just 25 % of Americans view Congress favorably .,"Views of Congress continue to hover near record lows : Just 25 % of Americans view Congress favorably, while 69 % say they have an unfavorable opinion","Views of Congress continue to hover near record lows : Just 25 % of Americans view Congress favorably, while 69 % say they have an unfavorable opinion",Gold Standard,T5
268,6703,"Dysfunctional Government Most Important Problem Facing America Today Monthly trend, January 2008 October 2013 Economy in general Government/Ongress) Politicians","What are the most important problems that America is facing today, according to the Gallup report?",dataset/images/6703.png,33 % of Americans cite dissatisfaction with government and lawmakers as the nation ’s top issue . That figure surpasses the economy ( 19 % ) and unemployment ( 12 % ) .,"But now, as the White House and Congress find themselves in yet another showdown over the budget and debt ceiling, Gallup reports that 33 % of Americans now cite dissatisfaction with government and lawmakers as the nation ’s top issue. That figure not only surpasses the economy ( 19 % ) and unemployment ( 12 % ).","Gallup reports that 33 % of Americans now cite dissatisfaction with government and lawmakers as the nation ’s top issue. That figure not only surpasses the economy ( 19 % ) and unemployment ( 12 % ), but is the highest such percentage dating back to 1939.",BART,T5
269,614,Many see U.S. as their country’s top ally,What do Americans think about Israelis as the country they can most rely on as a reliable ally in the future?,dataset/images/614.png,"In Israel , 82 % name the U.S. as the country they can most rely on as a dependable ally in the future",Nearly eight - in - ten Americans ( 82 % ) say Israel is the country they can most rely on as a reliable ally in the future,"In Israel, 82 % name the U.S. as the country they can most rely on as a dependable ally in the future",T5,Gold Standard
270,4011,"Figure 3 Hispanic Favorability Figure Ra tings of Political Figures (registeredHispanic voters,",What opinion do Latinos have about electing Politicians?,dataset/images/4011.png,"Obama is rated favorably by 76 % of Latino registered voters , making him much more popular among that voting group than McCain ( 44 % favorable ) and President Bush ( 27 % favorable ) . Hillary Clinton ’s ratings among Latino registered voters are 73 % favorable and 24 % unfavorable ; Obama ’s are 76 % favorable and 17 % unfavorable .","Obama is rated favorably by 76 % of Latino registered voters, making him much more popular among that voting group than McCain ( 44 % favorable ) and President Bush ( 27 % favorable","Obama is rated favorably by 76 % of Latino registered voters, making him much more popular among that voting group than McCain ( 44 % favorable ) and Bush ( 27 % favorable",BART,Gold Standard
271,3547,"Hispanic To Lack Health Immigrants Insurance More Likely than U.S-born To Lack Health Insurance Percent without health insurance in 2014 USS overall 14% Hispanics overall 25 U.S. born Hispanics 17 Foreign born Hispanics 39 Foreign- born Hispanics, U.S citizens 21 Foreign born Hispanics, non-citizen 49 Younger than 18 12 Younger than 18 34",What do Hispanics think about health insurance?,dataset/images/3547.png,"one - in - four ( 25 % ) Hispanics lack health insurance , the highest rate of any racial or ethnic group","This year, one - in - four ( 25 % ) Hispanics lack health insurance. About 14 % of the general U.S. population is uninsured.","This year, one - in - four ( 25 % ) Hispanics lack health insurance. About 14 % of the general U.S. population is uninsured.",T5,BART
272,705,Half of Americans think made-up news and information is a critical problem for the country,What opinion do American adults have about the invented news and information in the country?,dataset/images/705.png,", 50 % of U.S. adults said made - up news and information was a very big problem in the country today","In an early 2019 survey, 50 % of U.S. adults said made - up news and information was a very big problem in the country today – a larger share than said the same about issues including racism, illegal immigration, terrorism and sexism","In an early 2019 survey, 50 % of U.S. adults said made - up news and information was a very big problem in the country today – a larger share than said the same about issues including racism, illegal immigration, terrorism and sexism",T5,Gold Standard
273,6132,"Since May, Republicans Have Become More Supportive of Path to Legal Status % saying there should be a way for undocumented immigrants to say in the U.S., ifrequirements are met",Compare partisans views about providing legal status to undocumented immigrants.,dataset/images/6132.png,Republicans ( 66 % ) continue to be less likely than independents ( 74 % ) or Democrats ( 80 % ) to support a path to legal status for those in the U.S. illegally .,Republicans ( 66 % ) continue to be less likely than independents ( 74 % ) or Democrats ( 80 % ) to support a path to legal status for those in the U.S. illegally.,Republicans ( 66 % ) continue to be less likely than independents ( 74 % ) or Democrats ( 80 % ) to support a path to legal status for those in the U.S. illegally.,BART,T5
274,3336,It Is More Important to Have Strong Ties with,What percentage of Nigerians consider ties with China as more important in comparison to U.S.?,dataset/images/3336.png,"In Nigeria , 37 % say a strong relationship with China is more important , compared with just 17 % who say this about the U.S.","In Nigeria, 37 % say a strong relationship with China is more important, compared with just 17 % who say this about the U.S.","In Nigeria, 37 % say a strong relationship with China is more important, compared with just 17 % who say this about the U.S.",BART,Gold Standard
275,6557,"Figure 3 Computer Ownership, and Internet Use, 2012 (% ofall adults saying they...)",Compare the computer ownership among Latinos and whites.,dataset/images/6557.png,Latinos lag whites when it comes to owning a desktop or laptop computer or accessing the internet .,"Between 2009 and 2012, the share of Latino adults who say they go online at least occasionally increased 14 percentage points, rising from 64 % to 78%.2 Among whites, internet use rates also increased, but only by half as much — from 80 % in 2009 to 87 % in 2012. While Latinos use mobile and social networking technologies at rates similar to those of other groups, they lag whites when it comes to owning a desktop or laptop computer or accessing the internet ( with or without a mobile device ).","Between 2009 and 2012, the share of Latino adults who say they go online at least occasionally increased 14 percentage points, rising from 64 % to 78%.2 Among whites, internet use rates also increased, but only by half as much — from 80 % in 2009 to 87 % in 2012",T5,BART
276,1908,"In most countries, young and old agree about democracy % who say democracy is preferable to any fother kind of government",How has the German reunification been affected?,dataset/images/1908.png,The generation of Central and Eastern Europeans who came of age after the fall of the Berlin Wall and collapse of the Soviet Union differs little in its political outlook from earlier generations weaned on communist ideology and anti - Western propaganda .,"The reunification of Germany and the Czech Republic has been negatively affected in most countries surveyed. In most of the countries surveyed, majorities agree that democracy is preferable to any other kind of government.","Today, support for democracy is relatively tepid among both age groups. Majorities in most countries across the region are upbeat about free markets, with similar levels of support among young and old.",T5,Gold Standard
277,424,Majority of parents say their child 11 or younger watches videos on YouTube,Describe the trend among parents about their children watching videos on youtube?,dataset/images/424.png,"Fully 89 % of parents of a child age 5 to 11 say their child watches videos on YouTube , as do 81 % of those who have a child age 3 to 4 and 57 % of those who have child age 2 or younger .",YouTube has emerged as a key platform for both younger and older kids. Fully 89 % of parents of a child age 5 to 11 say their child watches videos on YouTube.,Fully 89 % of parents of a child age 5 to 11 say their child watches videos on YouTube.,T5,BART
278,2957,Some in GOP say Trump does not reflect views of average Republicans,What is the opinion of Republicans about agreeing with Trump on various issues ?,dataset/images/2957.png,62 % of Republicans say average Republicans in the country generally agree with Trump on most issues . three - in - ten say that average Republicans do not agree with Trump ’s positions on issues .,"Overall, 62 % of Republicans say average Republicans in the country generally agree with Trump on most issues.","Overall, 62 % of Republicans say average Republicans in the country generally agree with Trump on most issues.",Gold Standard,BART
279,1645,Views of candidate quality much less positive for presidential elections than for local contests several elections has been,What government scale has the most favorable Americans' views?,dataset/images/1645.png,"Government and politics seen as working better locally than nationally . Far more Americans have a favorable opinion of their local government ( 67 % ) than of the federal government ( 35 % ) . In addition , there is substantial satisfaction with the quality of candidates running for Congress and local elections in recent elections . That stands in contrast with views of the recent presidential candidates ; just 41 % say the quality of presidential candidates in recent elections has been good",Far more Americans have a favorable opinion of their local government ( 67 % ) than of the federal government ( 35 % ). Just 41 % say the quality of presidential candidates in recent elections has been good.,Far more Americans have a favorable opinion of their local government ( 67 % ) than of the federal government ( 35 % ).,Gold Standard,BART
280,2458,How involved are Christians in their congregations? % of people in each religious group who have high/medium//ow level of involvement in their congregations,Explain the congregational involvement among different religious groups?,dataset/images/2458.png,"Among all Christian religious traditions in the U.S. , Mormons are among the most highly involved in their congregations ( 67 % ) . Jehovah ’s Witnesses have comparable levels of highly involved members ( 64 % ) , while evangelical Protestants ( 43 % ) , members of historically black Protestant denominations ( 41 % ) and those in other Christian groups have lower average levels of congregational involvement .","Among all Christian religious traditions in the U.S., Mormons are among the most highly involved in their congregations ( 67 % )","Among all Christian religious traditions in the U.S., Mormons are among the most highly involved in their congregations ( 67 % )",BART,Gold Standard
281,1384,Majority of U.S. teens worry a shooting could happen at their school about the possibility ofa shooting % of teens saying they are shooting happening at their school,Describe the worries of teens on school shootings?,dataset/images/1384.png,"A majority of U.S. teens ages 13 to 17 ( 57 % ) fear a shooting could happen at their school , and most parents of teens share their concern . Nonwhite teens express greater concern over the possibility of a shooting at their school than white teens , and girls are more likely than boys to cite such concern .","A majority of U.S. teens ages 13 to 17 ( 57 % ) fear a shooting could happen at their school, and most parents of teens share their concern",A majority of U.S. teens ages 13 to 17 ( 57 % ) fear a shooting could happen at their school.,BART,T5
